knob,measured wavelength,Wavelength (nm),Probability Intensity,HE or NE,Energy Level Jumps,Possible (N/Y)?
0.4453,384.1365,383.918,3.66E+05,He,2p <- 10s,?
0.5028,441.7715,441.7309,0,Ne,3p <- 11s,N
0.5269,465.9281,465.5012,0,Ne,3p <- 8s,N
0.5486,487.6791,486.9625,0,Ne,3p <- 6d,N
0.5557,494.7957,494.63672,0,Ne,3p <- 7s,N
0.5902,529.3768,529.96632,0,Ne,3p <- 6s,N
0.631,570.273,569.13949,1.17E+06,Ne,3p <- 5s,Y
0.6377,576.9883,577.19154,4.04E+05,Ne,3p <- 5d,N
0.642,581.298,581.30181,7.37E+05,Ne,3p <- 4d,N
0.6439,583.2028,583.05238,2.87E+05,Ne,3p <- 4d,N
0.6501,589.4174,589.99651,2.01E+05,Ne,3p <- 4d,N
0.653,592.324,594.09627,2.12E+05,Ne,3p <- 5s,Y
0.6636,602.9491,603.1667,5.24E+06,Ne,3s <- 3p,Y
0.6662,605.5552,604.78078,1.96E+05,Ne,3p <- 5s,Y
0.6703,609.6648,609.78514,1.75E+07,Ne,3s <- 3p,Y
0.6811,620.4902,621.55956,2.75E+06,Ne,3p <- 5s,Y
0.6863,625.7024,624.84552,7.82E+05,Ne,3p <- 5s,Y
0.6892,628.6092,627.7772,1.25E+06,Ne,3p <- 4d,N
0.69,629.41,629.54858,6.51E+05,Ne,3p <- 5s,Y
0.6948,634.2224,633.61802,1.61E+07,Ne,3s <- 3p,Y
0.696,635.425,635.36124,3.28E+05,Ne,3p <- 5s,Y
0.7054,644.8473,644.64909,1.16E+06,Ne,3p <- 5s,Y
0.7087,648.155,650.83269,2.92E+07,Ne,3s <- 3p,Y
0.7169,656.3743,653.46878,9.94E+06,Ne,3s <- 3p,Y
0.7239,663.3907,664.18419,6.89E+04,Ne,3p <- 5s,Y
0.7275,666.9992,666.87332,4.06E+05,Ne,3p <- 5s,Y
0.7591,698.6734,699.138,5.45E+04,He,3s <- 12s,?
0.763,702.583,702.59881,2E+06,Ne,3s <- 3p,Y
0.7744,714.0093,714.0509,2.2E+05,Ne,3p <- 4d,N
0.7983,737.9654,737.32,0,Ne,4s <- 9p,N
0.8211,760.8189,760.4,0,Ne,4s <- 8p,N
0.83,769.74,769.48,0,Ne,4s <- 8p,N
